species,block,n
bacu,AA,0
bacu,AB,0
bacu,AC,1
bacu,B,3
bacu,C,1
bacu,D,3
bacu,DKA,0
bacu,E,6
bacu,F,0
bacu,G,3
bacu,H,1
bacu,I,2
bacu,J,2
bacu,K,3
bacu,L,0
bacu,M,0
bacu,N,7
bacu,O,5
bacu,P,3
bacu,Q,2
bacu,R,11
bacu,S,2
bacu,SVG,0
bacu,T,10
bacu,TRD,0
bacu,U,4
bacu,V,2
bacu,W,0
bacu,X,1
bacu,Y,1
bacu,Z,0
bbor,AA,0
bbor,AB,0
bbor,AC,0
bbor,B,0
bbor,C,0
bbor,D,0
bbor,DKA,0
bbor,E,0
bbor,F,0
bbor,G,0
bbor,H,0
bbor,I,0
bbor,J,0
bbor,K,0
bbor,L,0
bbor,M,0
bbor,N,0
bbor,O,0
bbor,P,0
bbor,Q,0
bbor,R,0
bbor,S,0
bbor,SVG,0
bbor,T,0
bbor,TRD,0
bbor,U,1
bbor,V,0
bbor,W,0
bbor,X,0
bbor,Y,0
bbor,Z,0
bphy,AA,1
bphy,AB,0
bphy,AC,0
bphy,B,1
bphy,C,0
bphy,D,0
bphy,DKA,0
bphy,E,0
bphy,F,0
bphy,G,0
bphy,H,0
bphy,I,0
bphy,J,0
bphy,K,1
bphy,L,0
bphy,M,0
bphy,N,0
bphy,O,0
bphy,P,0
bphy,Q,0
bphy,R,0
bphy,S,0
bphy,SVG,0
bphy,T,1
bphy,TRD,0
bphy,U,0
bphy,V,0
bphy,W,0
bphy,X,0
bphy,Y,0
bphy,Z,0
ddel,AA,18
ddel,AB,120
ddel,AC,84
ddel,B,262
ddel,C,0
ddel,D,17
ddel,DKA,0
ddel,E,0
ddel,F,0
ddel,G,0
ddel,H,0
ddel,I,0
ddel,J,1
ddel,K,0
ddel,L,0
ddel,M,0
ddel,N,0
ddel,O,0
ddel,P,0
ddel,Q,0
ddel,R,0
ddel,S,0
ddel,SVG,0
ddel,T,0
ddel,TRD,0
ddel,U,0
ddel,V,0
ddel,W,0
ddel,X,0
ddel,Y,0
ddel,Z,0
ddsc,AA,0
ddsc,AB,4
ddsc,AC,9
ddsc,B,195
ddsc,C,2
ddsc,D,37
ddsc,DKA,0
ddsc,E,0
ddsc,F,0
ddsc,G,0
ddsc,H,0
ddsc,I,1
ddsc,J,0
ddsc,K,0
ddsc,L,0
ddsc,M,0
ddsc,N,0
ddsc,O,0
ddsc,P,0
ddsc,Q,0
ddsc,R,0
ddsc,S,0
ddsc,SVG,0
ddsc,T,0
ddsc,TRD,0
ddsc,U,0
ddsc,V,0
ddsc,W,0
ddsc,X,0
ddsc,Y,0
ddsc,Z,0
desp,AA,2
desp,AB,6
desp,AC,11
desp,B,140
desp,C,0
desp,D,10
desp,DKA,0
desp,E,2
desp,F,1
desp,G,0
desp,H,9
desp,I,3
desp,J,1
desp,K,4
desp,L,0
desp,M,0
desp,N,0
desp,O,0
desp,P,0
desp,Q,0
desp,R,0
desp,S,2
desp,SVG,0
desp,T,2
desp,TRD,0
desp,U,0
desp,V,0
desp,W,0
desp,X,0
desp,Y,1
desp,Z,2
ggri,AA,1
ggri,AB,4
ggri,AC,1
ggri,B,2
ggri,C,0
ggri,D,0
ggri,DKA,0
ggri,E,2
ggri,F,0
ggri,G,0
ggri,H,1
ggri,I,0
ggri,J,3
ggri,K,2
ggri,L,0
ggri,M,0
ggri,N,0
ggri,O,0
ggri,P,0
ggri,Q,0
ggri,R,0
ggri,S,0
ggri,SVG,0
ggri,T,0
ggri,TRD,0
ggri,U,0
ggri,V,0
ggri,W,0
ggri,X,0
ggri,Y,0
ggri,Z,0
hamp,AA,0
hamp,AB,0
hamp,AC,0
hamp,B,0
hamp,C,0
hamp,D,0
hamp,DKA,0
hamp,E,0
hamp,F,0
hamp,G,0
hamp,H,1
hamp,I,0
hamp,J,1
hamp,K,0
hamp,L,0
hamp,M,0
hamp,N,0
hamp,O,0
hamp,P,0
hamp,Q,0
hamp,R,0
hamp,S,0
hamp,SVG,0
hamp,T,0
hamp,TRD,0
hamp,U,0
hamp,V,0
hamp,W,0
hamp,X,0
hamp,Y,0
hamp,Z,0
lacu,AA,0
lacu,AB,0
lacu,AC,0
lacu,B,0
lacu,C,0
lacu,D,0
lacu,DKA,0
lacu,E,0
lacu,F,0
lacu,G,0
lacu,H,0
lacu,I,0
lacu,J,0
lacu,K,0
lacu,L,0
lacu,M,0
lacu,N,0
lacu,O,0
lacu,P,0
lacu,Q,0
lacu,R,2
lacu,S,0
lacu,SVG,0
lacu,T,4
lacu,TRD,0
lacu,U,1
lacu,V,0
lacu,W,0
lacu,X,0
lacu,Y,0
lacu,Z,0
lalb,AA,0
lalb,AB,0
lalb,AC,0
lalb,B,0
lalb,C,0
lalb,D,0
lalb,DKA,1
lalb,E,0
lalb,F,0
lalb,G,0
lalb,H,11
lalb,I,0
lalb,J,2
lalb,K,27
lalb,L,0
lalb,M,0
lalb,N,0
lalb,O,1
lalb,P,8
lalb,Q,0
lalb,R,46
lalb,S,3
lalb,SVG,0
lalb,T,7
lalb,TRD,0
lalb,U,0
lalb,V,1
lalb,W,0
lalb,X,1
lalb,Y,0
lalb,Z,0
lasp,AA,0
lasp,AB,0
lasp,AC,0
lasp,B,0
lasp,C,0
lasp,D,0
lasp,DKA,0
lasp,E,0
lasp,F,0
lasp,G,0
lasp,H,8
lasp,I,0
lasp,J,0
lasp,K,2
lasp,L,0
lasp,M,0
lasp,N,0
lasp,O,0
lasp,P,0
lasp,Q,0
lasp,R,1
lasp,S,0
lasp,SVG,0
lasp,T,0
lasp,TRD,0
lasp,U,0
lasp,V,0
lasp,W,0
lasp,X,0
lasp,Y,0
lasp,Z,0
lw,AA,0
lw,AB,1
lw,AC,0
lw,B,0
lw,C,0
lw,D,0
lw,DKA,0
lw,E,0
lw,F,0
lw,G,0
lw,H,0
lw,I,0
lw,J,0
lw,K,0
lw,L,0
lw,M,0
lw,N,0
lw,O,0
lw,P,0
lw,Q,0
lw,R,0
lw,S,0
lw,SVG,0
lw,T,0
lw,TRD,0
lw,U,0
lw,V,0
lw,W,0
lw,X,0
lw,Y,0
lw,Z,0
mbid,AA,0
mbid,AB,0
mbid,AC,0
mbid,B,0
mbid,C,0
mbid,D,0
mbid,DKA,0
mbid,E,0
mbid,F,0
mbid,G,0
mbid,H,0
mbid,I,0
mbid,J,0
mbid,K,0
mbid,L,0
mbid,M,0
mbid,N,0
mbid,O,0
mbid,P,0
mbid,Q,0
mbid,R,0
mbid,S,0
mbid,SVG,0
mbid,T,0
mbid,TRD,0
mbid,U,1
mbid,V,0
mbid,W,0
mbid,X,0
mbid,Y,0
mbid,Z,0
mnov,AA,0
mnov,AB,0
mnov,AC,0
mnov,B,1
mnov,C,0
mnov,D,0
mnov,DKA,0
mnov,E,0
mnov,F,0
mnov,G,0
mnov,H,0
mnov,I,0
mnov,J,0
mnov,K,0
mnov,L,0
mnov,M,0
mnov,N,0
mnov,O,0
mnov,P,0
mnov,Q,0
mnov,R,0
mnov,S,0
mnov,SVG,0
mnov,T,1
mnov,TRD,0
mnov,U,0
mnov,V,0
mnov,W,0
mnov,X,0
mnov,Y,0
mnov,Z,0
mw,AA,1
mw,AB,0
mw,AC,0
mw,B,1
mw,C,0
mw,D,0
mw,DKA,0
mw,E,1
mw,F,0
mw,G,0
mw,H,0
mw,I,0
mw,J,2
mw,K,2
mw,L,0
mw,M,0
mw,N,0
mw,O,0
mw,P,1
mw,Q,0
mw,R,0
mw,S,1
mw,SVG,0
mw,T,0
mw,TRD,0
mw,U,0
mw,V,1
mw,W,0
mw,X,0
mw,Y,0
mw,Z,0
oorc,AA,0
oorc,AB,0
oorc,AC,0
oorc,B,0
oorc,C,0
oorc,D,0
oorc,DKA,0
oorc,E,0
oorc,F,0
oorc,G,0
oorc,H,0
oorc,I,0
oorc,J,0
oorc,K,0
oorc,L,0
oorc,M,0
oorc,N,0
oorc,O,0
oorc,P,0
oorc,Q,2
oorc,R,0
oorc,S,0
oorc,SVG,0
oorc,T,1
oorc,TRD,0
oorc,U,4
oorc,V,0
oorc,W,0
oorc,X,0
oorc,Y,0
oorc,Z,0
pmac,AA,0
pmac,AB,0
pmac,AC,0
pmac,B,0
pmac,C,0
pmac,D,0
pmac,DKA,0
pmac,E,0
pmac,F,0
pmac,G,0
pmac,H,0
pmac,I,0
pmac,J,1
pmac,K,0
pmac,L,0
pmac,M,0
pmac,N,0
pmac,O,0
pmac,P,0
pmac,Q,0
pmac,R,0
pmac,S,1
pmac,SVG,0
pmac,T,0
pmac,TRD,0
pmac,U,0
pmac,V,0
pmac,W,0
pmac,X,0
pmac,Y,0
pmac,Z,1
ppho,AA,0
ppho,AB,14
ppho,AC,1
ppho,B,13
ppho,C,46
ppho,D,17
ppho,DKA,89
ppho,E,48
ppho,F,6
ppho,G,25
ppho,H,4
ppho,I,26
ppho,J,4
ppho,K,59
ppho,L,117
ppho,M,52
ppho,N,165
ppho,O,270
ppho,P,163
ppho,Q,59
ppho,R,113
ppho,S,20
ppho,SVG,7
ppho,T,85
ppho,TRD,4
ppho,U,51
ppho,V,17
ppho,W,15
ppho,X,30
ppho,Y,17
ppho,Z,65
scoe,AA,0
scoe,AB,2
scoe,AC,15
scoe,B,1
scoe,C,0
scoe,D,1
scoe,DKA,0
scoe,E,0
scoe,F,0
scoe,G,0
scoe,H,0
scoe,I,0
scoe,J,0
scoe,K,1
scoe,L,0
scoe,M,0
scoe,N,0
scoe,O,0
scoe,P,0
scoe,Q,0
scoe,R,0
scoe,S,0
scoe,SVG,0
scoe,T,0
scoe,TRD,0
scoe,U,0
scoe,V,0
scoe,W,0
scoe,X,0
scoe,Y,0
scoe,Z,0
sw,AA,0
sw,AB,0
sw,AC,0
sw,B,14
sw,C,1
sw,D,0
sw,DKA,0
sw,E,1
sw,F,0
sw,G,1
sw,H,0
sw,I,1
sw,J,0
sw,K,0
sw,L,1
sw,M,0
sw,N,0
sw,O,0
sw,P,0
sw,Q,1
sw,R,0
sw,S,0
sw,SVG,0
sw,T,0
sw,TRD,0
sw,U,1
sw,V,0
sw,W,1
sw,X,0
sw,Y,0
sw,Z,0
ttru,AA,0
ttru,AB,4
ttru,AC,11
ttru,B,20
ttru,C,0
ttru,D,10
ttru,DKA,0
ttru,E,4
ttru,F,0
ttru,G,3
ttru,H,1
ttru,I,0
ttru,J,0
ttru,K,0
ttru,L,0
ttru,M,0
ttru,N,0
ttru,O,0
ttru,P,1
ttru,Q,0
ttru,R,4
ttru,S,1
ttru,SVG,0
ttru,T,0
ttru,TRD,0
ttru,U,0
ttru,V,0
ttru,W,0
ttru,X,0
ttru,Y,0
ttru,Z,0
turtl,AA,6
turtl,AB,1
turtl,AC,1
turtl,B,23
turtl,C,2
turtl,D,7
turtl,DKA,0
turtl,E,0
turtl,F,0
turtl,G,0
turtl,H,0
turtl,I,0
turtl,J,0
turtl,K,1
turtl,L,0
turtl,M,0
turtl,N,0
turtl,O,0
turtl,P,0
turtl,Q,0
turtl,R,1
turtl,S,0
turtl,SVG,0
turtl,T,0
turtl,TRD,0
turtl,U,0
turtl,V,0
turtl,W,0
turtl,X,0
turtl,Y,0
turtl,Z,0
zcav,AA,0
zcav,AB,0
zcav,AC,4
zcav,B,2
zcav,C,0
zcav,D,0
zcav,DKA,0
zcav,E,0
zcav,F,0
zcav,G,0
zcav,H,0
zcav,I,0
zcav,J,0
zcav,K,2
zcav,L,0
zcav,M,0
zcav,N,0
zcav,O,0
zcav,P,0
zcav,Q,0
zcav,R,0
zcav,S,0
zcav,SVG,0
zcav,T,0
zcav,TRD,0
zcav,U,0
zcav,V,0
zcav,W,0
zcav,X,0
zcav,Y,0
zcav,Z,0
zisp,AA,0
zisp,AB,0
zisp,AC,2
zisp,B,1
zisp,C,0
zisp,D,0
zisp,DKA,0
zisp,E,0
zisp,F,0
zisp,G,0
zisp,H,0
zisp,I,0
zisp,J,1
zisp,K,1
zisp,L,0
zisp,M,0
zisp,N,0
zisp,O,0
zisp,P,0
zisp,Q,0
zisp,R,0
zisp,S,0
zisp,SVG,0
zisp,T,0
zisp,TRD,0
zisp,U,0
zisp,V,1
zisp,W,0
zisp,X,0
zisp,Y,0
zisp,Z,0
